reg|name|promoter|district|project_type|started|units
RP/26/2025/01372|DIVINE SAPHIRE|DIVINE CONSTRUCTIONS|Puri|Residential|Jul, 2025|36
RP/19/2025/01371|STALWART KRISHNA IMPERIAL|STALWART PROJECTS PRIVATE LIMITED|Khordha|Residential|Jul, 2025|26
RP/19/2025/01370|BHUMIJA PALACE|SHAKTI CONSTRUCTION|Khordha|Residential|Jul, 2025|16
RP/19/2025/01369|CHAMPATI RESIDENCY|TRILOCHAN PROJECTS AND DEVELOPERS PVT. LTD|Khordha|Residential|Jul, 2025|61
RP/19/2025/01368|My Hill Nest Ph-I|MS MY NEST ASSETS PRIVATE LIMITED|Khordha|Residential|Jul, 2025|6
RP/19/2025/01367|OM PRAYAG RESIDENCY|Fortune Infra Properties Private Limited|Khordha|Residential|Jul, 2025|28
RP/26/2025/01366|NILADRI HERITAGE|SAPTAGIRI PRIME DEVELOPERS PRIVATE LIMITED|Puri|Residential|Jul, 2025|180
RP/04/2025/01365|S.S NEW TOWN|M/S S S NEW TOWN|Bargarh|Residential|Jun, 2025|80
RP/11/2025/01364|Vedas Basant Nivas|Vedas Associates|Ganjam|Residential|Jun, 2025|16
RP/19/2025/01363|TAPOVAN|KAILASH DEVELOPERS|Khordha|Residential|Jun, 2025|12
RP/01/2025/01362|Basanti Enclave|M/S. NEELACHAL INFRA DEVELOPERS PVT. LTD|Angul|Residential|May, 2025|86
RP/19/2025/01361|UDYAYEEN|SHYAMCHAND BUILDERS PRIVATE LIMITED|Khordha|Residential|May, 2025|54
RP/19/2025/01359|SRUSTI MANSION|Srusti Misti Builders Pvt. Ltd.|Khordha|Residential|May, 2025|20
RP/19/2025/01357|i-22|M/s. Panda Infratech Limited|Khordha|Residential|May, 2025|9
RP/19/2025/01355|MURALIDHARA HEIGHTS|TRILOCHAN PROJECTS AND DEVELOPERS PVT. LTD|Khordha|Residential|May, 2025|37
RP/19/2025/01353|KALVIK ADIDEV|M/s. KALVIK BUILDERS PVT. LTD.|Khordha|Residential|May, 2025|85
RP/17/2025/01352|LUXURY LANDING|KMCD Infrastructure Private Limited|Kendrapara|Residential|May, 2025|40
RP/19/2025/01350|PRAMOD SIGNATURE|M/S. JAY JAGANNATHSWAMI INFRAPROJECTS PVT. LTD.|Khordha|Residential|May, 2025|60
RP/19/2025/01348|AADIV ELITE|Aadiv Developers Private Limited|Khordha|Residential|Apr, 2025|13
